Product,Value($),Value(abbreviated),Year,Country
Mineral fuels- oils- distillation products,1130000.00,$1.13M,2017,Costa Rica
Edible fruits- nuts- peel of citrus fruit- melons,1120000.00,$1.12M,2017,Costa Rica
Toys- games- sports requisites,763420.00,$763.42K,2017,Costa Rica
Oil seed- oleagic fruits- grain- seed- fruits,743730.00,$743.73K,2017,Costa Rica
Albuminoids- modified starches- glues- enzymes,714590.00,$714.59K,2017,Costa Rica
Stone- plaster- cement- asbestos- mica or similar materials,671020.00,$671.02K,2017,Costa Rica
Special woven or tufted fabric- lace- tapestry,625510.00,$625.51K,2017,Costa Rica
Cotton,601400.00,$601.40K,2017,Costa Rica
Raw hides and skins (other than furskins) and leather,599060.00,$599.06K,2017,Costa Rica
Knitted or crocheted fabric,539370.00,$539.37K,2017,Costa Rica
Miscellaneous articles of base metal,527800.00,$527.80K,2017,Costa Rica
Dairy products- eggs- honey- edible products,487180.00,$487.18K,2017,Costa Rica
Live trees- plants- bulbs- roots- cut flowers,443100.00,$443.10K,2017,Costa Rica
Vegetable plaiting materials- vegetable products,426760.00,$426.76K,2017,Costa Rica
Tools- implements- cutlery of base metal,340000.00,$340K,2017,Costa Rica
Manmade staple fibers,332660.00,$332.66K,2017,Costa Rica
Meat and edible meat offal,324540.00,$324.54K,2017,Costa Rica
Edible vegetables and certain roots and tubers,313980.00,$313.98K,2017,Costa Rica
Articles of leather- animal gut- harness- travel good,252290.00,$252.29K,2017,Costa Rica
Optical- photo- technical- medical apparatus,246210.00,$246.21K,2017,Costa Rica
Explosives- pyrotechnics- matches- pyrophorics,206230.00,$206.23K,2017,Costa Rica
Cereals,155810.00,$155.81K,2017,Costa Rica
Fish- crustaceans- molluscs- aquatics invertebrates,153760.00,$153.76K,2017,Costa Rica
Lac- gums- resins,107210.00,$107.21K,2017,Costa Rica
Impregnated- coated or laminated textile fabric,81740.00,$81.74K,2017,Costa Rica
Pearls- precious stones- metals- coins,55090.00,$55.09K,2017,Costa Rica
Umbrellas- walking-sticks- seat-sticks- whips,35260.00,$35.26K,2017,Costa Rica
Aircraft- spacecraft,32350.00,$32.35K,2017,Costa Rica
Headgear and,29690.00,$29.69K,2017,Costa Rica
Railway- tramway locomotives- rolling stock- equipment,28850.00,$28.85K,2017,Costa Rica
Copper,20200.00,$20.20K,2017,Costa Rica
Clocks and watches,19990.00,$19.99K,2017,Costa Rica
Pulp of wood- fibrous cellulosic material- waste,18820.00,$18.82K,2017,Costa Rica
Photographic or cinematographic goods,18730.00,$18.73K,2017,Costa Rica
Zinc,18350.00,$18.35K,2017,Costa Rica
Carpets and other textile floor coverings,7030.00,$7.03K,2017,Costa Rica
Manufacturers of plaiting material- basketwork,4120.00,$4.12K,2017,Costa Rica
Works of art- collectors' pieces and antiques,1920.00,$1.92K,2017,Costa Rica
Silk,1890.00,$1.89K,2017,Costa Rica
Bird skin- feathers- artificial flowers- human hair,272.00,$272 ,2017,Costa Rica
Musical instruments- parts and accessories,146.00,$146 ,2017,Costa Rica
Furskins and artificial fur- manufactures,19.00,$19 ,2017,Costa Rica
Lead,8150.00,$8.15K,2016,Costa Rica
Live animals,6200.00,$6.2K,2016,Costa Rica
Cork and articles of cork,209.00,$209 ,2015,Costa Rica
Nickel,78.00,$78 ,2015,Costa Rica
Wool- animal hair- horsehair yarn and fabric,31.00,$31 ,2015,Costa Rica
Ships- boats- and other floating structures,14160.00,$14.16K,2014,Costa Rica
Products of animal origin,3000.00,$3K,2014,Costa Rica
Tobacco and manufactures tobacco substitutes,4950000.00,$4.95M,2013,Costa Rica
Tin,12000.00,$12K,2013,Costa Rica
Arms and ammunition- parts and accessories,20.00,$20 ,2013,Costa Rica
Ores slag and ash,3740.00,$3.74K,2012,Costa Rica
Vegetable textile fibers not specified elsewhere- paper yarn- woven fabric,2090.00,$2.09K,2011,Costa Rica
Coffee- tea- mate and spices,108830000.00,$108.83M,2017,Saudi Arabia
Edible fruits- nuts- peel of citrus fruit- melons,1020000.00,$1.02M,2017,Saudi Arabia
Ceramic products,326300.00,$326.30K,2017,Saudi Arabia
Aluminum,224200.00,$224.20K,2017,Saudi Arabia
Pulp of wood- fibrous cellulosic material- waste,178030.00,$178.03K,2017,Saudi Arabia
Articles of apparel- knit or crocheted,29290.00,$29.29K,2017,Saudi Arabia
Pearls- precious stones- metals- coins,25930.00,$25.93K,2017,Saudi Arabia
Plastics,22640.00,$22.64K,2017,Saudi Arabia
Live trees- plants- bulbs- roots- cut flowers,19170.00,$19.17K,2017,Saudi Arabia
Machinery- nuclear reactors- boilers,6220.00,$6.22K,2017,Saudi Arabia
Dairy products- eggs- honey- edible products,241650.00,$241.65K,2016,Saudi Arabia
Sugars and sugar confectionery,57480.00,$57.48K,2016,Saudi Arabia
Oil seed- oleagic fruits- grain- seed- fruits,28000.00,$28K,2016,Saudi Arabia
Articles of leather- animal gut- harness- travel good,4010.00,$4.01K,2015,Saudi Arabia
Paper and paperboard- articles of pulp- paper and board,45.00,$45 ,2015,Saudi Arabia
Articles of apparel- not knit or crocheted,16080.00,$16.08K,2014,Saudi Arabia
Edible vegetables and certain roots and tubers,1590.00,$1.59K,2014,Saudi Arabia
Furniture- lighting signs- prefabricated buildings,520.00,$520 ,2014,Saudi Arabia
Electrical- electronic equipment,310.00,$310 ,2014,Saudi Arabia
Articles of iron or steel,100.00,$100 ,2014,Saudi Arabia
Glass and glassware,70.00,$70 ,2014,Saudi Arabia
Works of art- collectors' pieces and antiques,70.00,$70 ,2014,Saudi Arabia
Footwear- gaiters and the like-,60.00,$60 ,2014,Saudi Arabia
Printed books- newspapers- pictures,60.00,$60 ,2014,Saudi Arabia
Tools- implements- cutlery of base metal,20.00,$20 ,2014,Saudi Arabia
Vehicles other than railway- tramway,10.00,$10 ,2014,Saudi Arabia
Musical instruments- parts and accessories,10.00,$10 ,2014,Saudi Arabia
Vegetable- fruit- nut food preparations,45000.00,$45K,2012,Saudi Arabia
Manmade filaments,101460.00,$101.46K,2011,Saudi Arabia
Wadding- felt- nonwovens- yarns- twine- cordage,96210.00,$96.21K,2010,Saudi Arabia
Beverages- spirits and vinegar,3060.00,$3.06K,2017,Gabon
Toys- games- sports requisites,715.00,$715 ,2012,Gabon
Machinery- nuclear reactors- boilers,560.00,$560 ,2012,Gabon
Articles of apparel- not knit or crocheted,450.00,$450 ,2012,Gabon
Furniture- lighting signs- prefabricated buildings,430.00,$430 ,2012,Gabon
Plastics,370.00,$370 ,2012,Gabon
Works of art- collectors' pieces and antiques,250.00,$250 ,2012,Gabon
Printed books- newspapers- pictures,185.00,$185 ,2012,Gabon
Carpets and other textile floor coverings,100.00,$100 ,2012,Gabon
Articles of iron or steel,100.00,$100 ,2012,Gabon
Electrical- electronic equipment,100.00,$100 ,2012,Gabon
Vehicles other than railway- tramway,60.00,$60 ,2012,Gabon
Tools- implements- cutlery of base metal,40.00,$40 ,2012,Gabon
Iron and steel,56960000.00,$56.96M,2017,Italy
Ores slag and ash,33800000.00,$33.80M,2017,Italy
Coffee- tea- mate and spices,32020000.00,$32.02M,2017,Italy
Edible fruits- nuts- peel of citrus fruit- melons,17810000.00,$17.81M,2017,Italy
Animal- vegetable fats and oils- cleavage products,5270000.00,$5.27M,2017,Italy
Beverages- spirits and vinegar,3360000.00,$3.36M,2017,Italy
Articles of apparel- knit or crocheted,3230000.00,$3.23M,2017,Italy
Wood and articles of wood- wood charcoal,2190000.00,$2.19M,2017,Italy
Sugars and sugar confectionery,1420000.00,$1.42M,2017,Italy
Paper and paperboard- articles of pulp- paper and board,1350000.00,$1.35M,2017,Italy
Zinc,777690.00,$777.69K,2017,Italy
Rubbers,531140.00,$531.14K,2017,Italy
Machinery- nuclear reactors- boilers,461040.00,$461.04K,2017,Italy
Oil seed- oleagic fruits- grain- seed- fruits,367090.00,$367.09K,2017,Italy
Live trees- plants- bulbs- roots- cut flowers,358040.00,$358.04K,2017,Italy
Plastics,244220.00,$244.22K,2017,Italy
Dairy products- eggs- honey- edible products,220500.00,$220.5K,2017,Italy
Articles of apparel- not knit or crocheted,209690.00,$209.69K,2017,Italy
Vegetable- fruit- nut food preparations,160000.00,$160K,2017,Italy
Pulp of wood- fibrous cellulosic material- waste,120640.00,$120.64K,2017,Italy
Fish- crustaceans- molluscs- aquatics invertebrates,88420.00,$88.42K,2017,Italy
Essential oils- perfumes- cosmetics- toileteries,63600.00,$63.60K,2017,Italy
Optical- photo- technical- medical apparatus,55560.00,$55.56K,2017,Italy
Lead,44370.00,$44.37K,2017,Italy
Pearls- precious stones- metals- coins,37410.00,$37.41K,2017,Italy
Raw hides and skins (other than furskins) and leather,32660.00,$32.66K,2017,Italy
Salt- sulphur- earth- stone- plaster- lime and cement,26670.00,$26.67K,2017,Italy
Edible vegetables and certain roots and tubers,17770.00,$17.77K,2017,Italy
Ships- boats- and other floating structures,14160.00,$14.16K,2017,Italy
Articles of leather- animal gut- harness- travel good,8770.00,$8.77K,2017,Italy
Electrical- electronic equipment,7680.00,$7.68K,2017,Italy
Manufacturers of plaiting material- basketwork,7220.00,$7.22K,2017,Italy
Special woven or tufted fabric- lace- tapestry,5500.00,$5.5K,2017,Italy
Pharmaceutical products,4320.00,$4.32K,2017,Italy
Printed books- newspapers- pictures,3190.00,$3.19K,2017,Italy
Toys- games- sports requisites,2250.00,$2.25K,2017,Italy
Ceramic products,2080.00,$2.08K,2017,Italy
Furniture- lighting signs- prefabricated buildings,1420.00,$1.42K,2017,Italy
Other made textile articles- sets- worn clothing,1160.00,$1.16K,2017,Italy
Articles of iron or steel,860.00,$860 ,2017,Italy
Tanning- dyeing extracts- tannins- derivatives- pigments,622.00,$622 ,2017,Italy
Works of art- collectors' pieces and antiques,260.00,$260 ,2017,Italy
Vehicles other than railway- tramway,180.00,$180 ,2017,Italy
Glass and glassware,170.00,$170 ,2017,Italy
Miscellaneous chemical products,148.00,$148 ,2017,Italy
Milling products- malt- starches- inlin- wheat gluten,136.00,$136 ,2017,Italy
Carpets and other textile floor coverings,120.00,$120 ,2017,Italy
Miscellanneous manufactured articles,100.00,$100 ,2017,Italy
Footwear- gaiters and the like-,70.00,$70 ,2017,Italy
Tools- implements- cutlery of base metal,53.00,$53 ,2017,Italy
Aluminum,40.00,$40 ,2017,Italy
Cocoa and cocoa preparations,20.00,$20 ,2017,Italy
Wool- animal hair- horsehair yarn and fabric,32740.00,$32.74K,2016,Italy
Miscellaneous articles of base metal,22700.00,$22.70K,2016,Italy
Soaps- lubricants- waxes- candles- modelling pastes,1320.00,$1.32K,2016,Italy
Clocks and watches,535.00,$535 ,2016,Italy
Musical instruments- parts and accessories,264.00,$264 ,2016,Italy
Knitted or crocheted fabric,200.00,$200 ,2016,Italy
Miscellaneous edible preparations,100.00,$100 ,2016,Italy
Inorganic chemicals- precious metal compound- isotope,240000.00,$240K,2015,Italy
Copper,6460.00,$6.46K,2015,Italy
Headgear and,99.00,$99 ,2015,Italy
Cotton,15.00,$15 ,2015,Italy
Umbrellas- walking-sticks- seat-sticks- whips,10.00,$10 ,2015,Italy
Stone- plaster- cement- asbestos- mica or similar materials,10.00,$10 ,2015,Italy
Cereal- flour- starch- milk preparations and products,7170.00,$7.17K,2014,Italy
Railway- tramway locomotives- rolling stock- equipment,1120.00,$1.12K,2014,Italy
Wadding- felt- nonwovens- yarns- twine- cordage,5.00,$5 ,2014,Italy
Manmade filaments,239.00,$239 ,2013,Italy
Meat- fish and seafood preparations,4980000.00,$4.98M,2011,Italy
Tobacco and manufactures tobacco substitutes,100740.00,$100.74K,2010,Italy
Silk,55.00,$55 ,2010,Italy
Bird skin- feathers- artificial flowers- human hair,10.00,$10 ,2010,Italy
Fish- crustaceans- molluscs- aquatics invertebrates,8570000.00,$8.57M,2017,France
Coffee- tea- mate and spices,6580000.00,$6.58M,2017,France
Beverages- spirits and vinegar,2770000.00,$2.77M,2017,France
Essential oils- perfumes- cosmetics- toileteries,2600000.00,$2.60M,2017,France
Sugars and sugar confectionery,2310000.00,$2.31M,2017,France
Pharmaceutical products,1450000.00,$1.45M,2017,France
Oil seed- oleagic fruits- grain- seed- fruits,1200000.00,$1.20M,2017,France
Edible vegetables and certain roots and tubers,1070000.00,$1.07M,2017,France
Iron and steel,620770.00,$620.77K,2017,France
Edible fruits- nuts- peel of citrus fruit- melons,319820.00,$319.82K,2017,France
Wood and articles of wood- wood charcoal,210000.00,$210.00K,2017,France
Dairy products- eggs- honey- edible products,208140.00,$208.14K,2017,France
Machinery- nuclear reactors- boilers,122460.00,$122.46K,2017,France
Cocoa and cocoa preparations,114860.00,$114.86K,2017,France
Paper and paperboard- articles of pulp- paper and board,59620.00,$59.62K,2017,France
Articles of apparel- knit or crocheted,44840.00,$44.84K,2017,France
Aircraft- spacecraft,37950.00,$37.95K,2017,France
Animal- vegetable fats and oils- cleavage products,35340.00,$35.34K,2017,France
Cereal- flour- starch- milk preparations and products,24240.00,$24.24K,2017,France
Live trees- plants- bulbs- roots- cut flowers,23910.00,$23.91K,2017,France
Furniture- lighting signs- prefabricated buildings,22880.00,$22.88K,2017,France
Articles of apparel- not knit or crocheted,22210.00,$22.21K,2017,France
Articles of leather- animal gut- harness- travel good,21310.00,$21.31K,2017,France
Organic chemicals,17860.00,$17.86K,2017,France
Electrical- electronic equipment,16880.00,$16.88K,2017,France
Soaps- lubricants- waxes- candles- modelling pastes,16660.00,$16.66K,2017,France
Miscellaneous chemical products,15720.00,$15.72K,2017,France
Vegetable- fruit- nut food preparations,9200.00,$9.2K,2017,France
Toys- games- sports requisites,7920.00,$7.92K,2017,France
Other made textile articles- sets- worn clothing,7480.00,$7.48K,2017,France
Plastics,6360.00,$6.36K,2017,France
Miscellanneous manufactured articles,5260.00,$5.26K,2017,France
Glass and glassware,5050.00,$5.05K,2017,France
Pearls- precious stones- metals- coins,3730.00,$3.73K,2017,France
Cereals,2690.00,$2.69K,2017,France
Ceramic products,2620.00,$2.62K,2017,France
Musical instruments- parts and accessories,2560.00,$2.56K,2017,France
Optical- photo- technical- medical apparatus,2240.00,$2.24K,2017,France
Printed books- newspapers- pictures,2200.00,$2.20K,2017,France
Articles of iron or steel,1400.00,$1.40K,2017,France
Miscellaneous articles of base metal,927.00,$927 ,2017,France
Tools- implements- cutlery of base metal,545.00,$545 ,2017,France
Footwear- gaiters and the like-,475.00,$475 ,2017,France
Milling products- malt- starches- inlin- wheat gluten,390.00,$390 ,2017,France
Works of art- collectors' pieces and antiques,350.00,$350 ,2017,France
Railway- tramway locomotives- rolling stock- equipment,350.00,$350 ,2017,France
Cotton,330.00,$330 ,2017,France
Wadding- felt- nonwovens- yarns- twine- cordage,240.00,$240 ,2017,France
Salt- sulphur- earth- stone- plaster- lime and cement,240.00,$240 ,2017,France
Carpets and other textile floor coverings,210.00,$210 ,2017,France
Rubbers,125.00,$125 ,2017,France
Headgear and,84.00,$84 ,2017,France
Ships- boats- and other floating structures,45.00,$45 ,2017,France
Vehicles other than railway- tramway,40.00,$40 ,2017,France
Albuminoids- modified starches- glues- enzymes,30.00,$30 ,2017,France
Stone- plaster- cement- asbestos- mica or similar materials,15.00,$15 ,2017,France
Manufacturers of plaiting material- basketwork,463.00,$463 ,2016,France
Aluminum,160.00,$160 ,2016,France
Lac- gums- resins,91.00,$91 ,2016,France
Silk,22.00,$22 ,2016,France
Mineral fuels- oils- distillation products,11.00,$11 ,2016,France
Inorganic chemicals- precious metal compound- isotope,336.00,$336 ,2015,France
Wool- animal hair- horsehair yarn and fabric,109.00,$109 ,2015,France
Special woven or tufted fabric- lace- tapestry,64.00,$64 ,2015,France
Clocks and watches,2.00,$2 ,2015,France
Tobacco and manufactures tobacco substitutes,5430000.00,$5.43M,2014,France
Residues- wastes of food industry- animal fodder,48.00,$48 ,2014,France
Umbrellas- walking-sticks- seat-sticks- whips,33.00,$33 ,2014,France
Tanning- dyeing extracts- tannins- derivatives- pigments,489.00,$489 ,2013,France
Copper,100.00,$100 ,2013,France
Miscellaneous edible preparations,23070.00,$23.07K,2012,France
Aluminum,13720000.00,$13.72M,2017,Brazil
Rubbers,7770000.00,$7.77M,2017,Brazil
Lead,4800000.00,$4.80M,2017,Brazil
Organic chemicals,4050000.00,$4.05M,2017,Brazil
Miscellaneous chemical products,3690000.00,$3.69M,2017,Brazil
Plastics,651740.00,$651.74K,2017,Brazil
Articles of iron or steel,651180.00,$651.18K,2017,Brazil
Sugars and sugar confectionery,399210.00,$399.21K,2017,Brazil
Articles of apparel- knit or crocheted,384420.00,$384.42K,2017,Brazil
Oil seed- oleagic fruits- grain- seed- fruits,154530.00,$154.53K,2017,Brazil
Coffee- tea- mate and spices,128200.00,$128.20K,2017,Brazil
Machinery- nuclear reactors- boilers,119570.00,$119.57K,2017,Brazil
Products of animal origin,114710.00,$114.71K,2017,Brazil
Essential oils- perfumes- cosmetics- toileteries,96750.00,$96.75K,2017,Brazil
Beverages- spirits and vinegar,48950.00,$48.95K,2017,Brazil
Tanning- dyeing extracts- tannins- derivatives- pigments,35150.00,$35.15K,2017,Brazil
Furniture- lighting signs- prefabricated buildings,17540.00,$17.54K,2017,Brazil
Vehicles other than railway- tramway,14960.00,$14.96K,2017,Brazil
Electrical- electronic equipment,13960.00,$13.96K,2017,Brazil
Articles of apparel- not knit or crocheted,10660.00,$10.66K,2017,Brazil
Soaps- lubricants- waxes- candles- modelling pastes,8670.00,$8.67K,2017,Brazil
Tools- implements- cutlery of base metal,6160.00,$6.16K,2017,Brazil
Footwear- gaiters and the like-,5440.00,$5.44K,2017,Brazil
Printed books- newspapers- pictures,4820.00,$4.82K,2017,Brazil
Cocoa and cocoa preparations,4440.00,$4.44K,2017,Brazil
Works of art- collectors' pieces and antiques,4060.00,$4.06K,2017,Brazil
Toys- games- sports requisites,3710.00,$3.71K,2017,Brazil
Paper and paperboard- articles of pulp- paper and board,3190.00,$3.19K,2017,Brazil
Other made textile articles- sets- worn clothing,2210.00,$2.21K,2017,Brazil
Ceramic products,2160.00,$2.16K,2017,Brazil
Glass and glassware,1740.00,$1.74K,2017,Brazil
Carpets and other textile floor coverings,1680.00,$1.68K,2017,Brazil
Cereals,1550.00,$1.55K,2017,Brazil
Inorganic chemicals- precious metal compound- isotope,1250.00,$1.25K,2017,Brazil
Cereal- flour- starch- milk preparations and products,1140.00,$1.14K,2017,Brazil
Optical- photo- technical- medical apparatus,938.00,$938 ,2017,Brazil
Articles of leather- animal gut- harness- travel good,655.00,$655 ,2017,Brazil
Musical instruments- parts and accessories,430.00,$430 ,2017,Brazil
Wood and articles of wood- wood charcoal,275.00,$275 ,2017,Brazil
Wadding- felt- nonwovens- yarns- twine- cordage,200.00,$200 ,2017,Brazil
Miscellaneous articles of base metal,135.00,$135 ,2017,Brazil
Umbrellas- walking-sticks- seat-sticks- whips,120.00,$120 ,2017,Brazil
Miscellanneous manufactured articles,50.00,$50 ,2017,Brazil
Tobacco and manufactures tobacco substitutes,39.00,$39 ,2017,Brazil
Arms and ammunition- parts and accessories,20.00,$20 ,2017,Brazil
Ships- boats- and other floating structures,20.00,$20 ,2017,Brazil
Headgear and,15.00,$15 ,2017,Brazil
Vegetable- fruit- nut food preparations,3.00,$3 ,2017,Brazil
Milling products- malt- starches- inlin- wheat gluten,2.00,$2 ,2017,Brazil
Pearls- precious stones- metals- coins,1.00,$1 ,2017,Brazil
Edible vegetables and certain roots and tubers,1.00,$1 ,2016,Brazil
Dairy products- eggs- honey- edible products,1.00,$1 ,2016,Brazil
Vegetable plaiting materials- vegetable products,880060.00,$880.06K,2014,Brazil
Base metals not specified elsewhere- cermets.,42240.00,$42.24K,2014,Brazil
Miscellaneous edible preparations,45230.00,$45.23K,2013,Brazil
Stone- plaster- cement- asbestos- mica or similar materials,29230.00,$29.23K,2013,Brazil
Manmade filaments,78950.00,$78.95K,2012,Brazil
Ores slag and ash,35830.00,$35.83K,2012,Brazil
Manmade staple fibers,6650.00,$6.65K,2012,Brazil
Cotton,737.00,$737 ,2012,Brazil
Clocks and watches,5.00,$5 ,2012,Brazil
Pharmaceutical products,1090000.00,$1.09M,2011,Brazil
Salt- sulphur- earth- stone- plaster- lime and cement,24.00,$24 ,2011,Brazil
Albuminoids- modified starches- glues- enzymes,10490.00,$10.49K,2010,Brazil
Animal- vegetable fats and oils- cleavage products,59190000.00,$59.19M,2017,Germany
Coffee- tea- mate and spices,48170000.00,$48.17M,2017,Germany
Beverages- spirits and vinegar,7010000.00,$7.01M,2017,Germany
Tobacco and manufactures tobacco substitutes,6820000.00,$6.82M,2017,Germany
Edible fruits- nuts- peel of citrus fruit- melons,4910000.00,$4.91M,2017,Germany
Oil seed- oleagic fruits- grain- seed- fruits,3920000.00,$3.92M,2017,Germany
Vegetable- fruit- nut food preparations,2580000.00,$2.58M,2017,Germany
Dairy products- eggs- honey- edible products,2070000.00,$2.07M,2017,Germany
Rubbers,1180000.00,$1.18M,2017,Germany
Essential oils- perfumes- cosmetics- toileteries,937650.00,$937.65K,2017,Germany
Machinery- nuclear reactors- boilers,895240.00,$895.24K,2017,Germany
Articles of apparel- knit or crocheted,812360.00,$812.36K,2017,Germany
Edible vegetables and certain roots and tubers,542020.00,$542.02K,2017,Germany
Paper and paperboard- articles of pulp- paper and board,429050.00,$429.05K,2017,Germany
Optical- photo- technical- medical apparatus,339800.00,$339.80K,2017,Germany
Live trees- plants- bulbs- roots- cut flowers,306280.00,$306.28K,2017,Germany
Organic chemicals,262340.00,$262.34K,2017,Germany
Electrical- electronic equipment,169950.00,$169.95K,2017,Germany
Plastics,162540.00,$162.54K,2017,Germany
Vehicles other than railway- tramway,111040.00,$111.04K,2017,Germany
Wood and articles of wood- wood charcoal,99560.00,$99.56K,2017,Germany
Copper,88580.00,$88.58K,2017,Germany
Articles of apparel- not knit or crocheted,50780.00,$50.78K,2017,Germany
Toys- games- sports requisites,37790.00,$37.79K,2017,Germany
Tanning- dyeing extracts- tannins- derivatives- pigments,31800.00,$31.80K,2017,Germany
Cocoa and cocoa preparations,25400.00,$25.40K,2017,Germany
Tools- implements- cutlery of base metal,20310.00,$20.31K,2017,Germany
Articles of leather- animal gut- harness- travel good,20050.00,$20.05K,2017,Germany
Articles of iron or steel,15620.00,$15.62K,2017,Germany
Cotton,14460.00,$14.46K,2017,Germany
Furniture- lighting signs- prefabricated buildings,12380.00,$12.38K,2017,Germany
Ships- boats- and other floating structures,10220.00,$10.22K,2017,Germany
Knitted or crocheted fabric,9370.00,$9.37K,2017,Germany
Printed books- newspapers- pictures,8030.00,$8.03K,2017,Germany
Railway- tramway locomotives- rolling stock- equipment,7230.00,$7.23K,2017,Germany
Pharmaceutical products,6440.00,$6.44K,2017,Germany
Pearls- precious stones- metals- coins,5620.00,$5.62K,2017,Germany
Footwear- gaiters and the like-,5440.00,$5.44K,2017,Germany
Soaps- lubricants- waxes- candles- modelling pastes,4070.00,$4.07K,2017,Germany
Other made textile articles- sets- worn clothing,3150.00,$3.15K,2017,Germany
Wadding- felt- nonwovens- yarns- twine- cordage,2470.00,$2.47K,2017,Germany
Ceramic products,1860.00,$1.86K,2017,Germany
Glass and glassware,1670.00,$1.67K,2017,Germany
Works of art- collectors' pieces and antiques,1660.00,$1.66K,2017,Germany
Musical instruments- parts and accessories,1390.00,$1.39K,2017,Germany
Carpets and other textile floor coverings,860.00,$860 ,2017,Germany
Miscellaneous articles of base metal,826.00,$826 ,2017,Germany
Headgear and,459.00,$459 ,2017,Germany
Miscellanneous manufactured articles,319.00,$319 ,2017,Germany
Salt- sulphur- earth- stone- plaster- lime and cement,269.00,$269 ,2017,Germany
Clocks and watches,217.00,$217 ,2017,Germany
Fertilizers,180.00,$180 ,2017,Germany
Impregnated- coated or laminated textile fabric,166.00,$166 ,2017,Germany
Aircraft- spacecraft,151.00,$151 ,2017,Germany
Iron and steel,126.00,$126 ,2017,Germany
Aluminum,74.00,$74 ,2017,Germany
Mineral fuels- oils- distillation products,67.00,$67 ,2017,Germany
Albuminoids- modified starches- glues- enzymes,63.00,$63 ,2017,Germany
Miscellaneous chemical products,59.00,$59 ,2017,Germany
Sugars and sugar confectionery,51.00,$51 ,2017,Germany
Cork and articles of cork,28.00,$28 ,2017,Germany
Umbrellas- walking-sticks- seat-sticks- whips,25.00,$25 ,2017,Germany
Vegetable textile fibers not specified elsewhere- paper yarn- woven fabric,15.00,$15 ,2017,Germany
Explosives- pyrotechnics- matches- pyrophorics,2.00,$2 ,2017,Germany
Inorganic chemicals- precious metal compound- isotope,1.00,$1 ,2017,Germany
Ores slag and ash,1470000.00,$1.47M,2016,Germany
Pulp of wood- fibrous cellulosic material- waste,398020.00,$398.02K,2016,Germany
Special woven or tufted fabric- lace- tapestry,5650.00,$5.65K,2016,Germany
Arms and ammunition- parts and accessories,1620.00,$1.62K,2016,Germany
Manmade filaments,1200.00,$1.20K,2016,Germany
Stone- plaster- cement- asbestos- mica or similar materials,497.00,$497 ,2016,Germany
Lac- gums- resins,17.00,$17 ,2016,Germany
Photographic or cinematographic goods,15.00,$15 ,2016,Germany
Miscellaneous edible preparations,2.00,$2 ,2016,Germany
Cereal- flour- starch- milk preparations and products,1.00,$1 ,2016,Germany
Vegetable plaiting materials- vegetable products,12990.00,$12.99K,2015,Germany
Milling products- malt- starches- inlin- wheat gluten,917.00,$917 ,2015,Germany
Cereals,323.00,$323 ,2015,Germany
Residues- wastes of food industry- animal fodder,50.00,$50 ,2015,Germany
Fish- crustaceans- molluscs- aquatics invertebrates,1220000.00,$1.22M,2014,Germany
Manmade staple fibers,3830.00,$3.83K,2013,Germany
Bird skin- feathers- artificial flowers- human hair,54.00,$54 ,2013,Germany
Manufacturers of plaiting material- basketwork,55.00,$55 ,2012,Germany
Plastics,76560000.00,$76.56M,2017,Honduras
Iron and steel,67750000.00,$67.75M,2017,Honduras
Mineral fuels- oils- distillation products,60610000.00,$60.61M,2017,Honduras
Cereal- flour- starch- milk preparations and products,52470000.00,$52.47M,2017,Honduras
Miscellaneous edible preparations,51910000.00,$51.91M,2017,Honduras
Pharmaceutical products,50200000.00,$50.20M,2017,Honduras
Beverages- spirits and vinegar,47450000.00,$47.45M,2017,Honduras
Paper and paperboard- articles of pulp- paper and board,44500000.00,$44.50M,2017,Honduras
Miscellaneous chemical products,35750000.00,$35.75M,2017,Honduras
Essential oils- perfumes- cosmetics- toileteries,32910000.00,$32.91M,2017,Honduras
Articles of iron or steel,27390000.00,$27.39M,2017,Honduras
Soaps- lubricants- waxes- candles- modelling pastes,26680000.00,$26.68M,2017,Honduras
Furniture- lighting signs- prefabricated buildings,25560000.00,$25.56M,2017,Honduras
Vehicles other than railway- tramway,21780000.00,$21.78M,2017,Honduras
Residues- wastes of food industry- animal fodder,21740000.00,$21.74M,2017,Honduras
Aluminum,19510000.00,$19.51M,2017,Honduras
Animal- vegetable fats and oils- cleavage products,19430000.00,$19.43M,2017,Honduras
Ceramic products,19250000.00,$19.25M,2017,Honduras
Machinery- nuclear reactors- boilers,17650000.00,$17.65M,2017,Honduras
Tanning- dyeing extracts- tannins- derivatives- pigments,16830000.00,$16.83M,2017,Honduras
Cotton,15470000.00,$15.47M,2017,Honduras
Wood and articles of wood- wood charcoal,15360000.00,$15.36M,2017,Honduras
Inorganic chemicals- precious metal compound- isotope,12930000.00,$12.93M,2017,Honduras
Vegetable- fruit- nut food preparations,12220000.00,$12.22M,2017,Honduras
Electrical- electronic equipment,12090000.00,$12.09M,2017,Honduras
Meat- fish and seafood preparations,11720000.00,$11.72M,2017,Honduras
Glass and glassware,10360000.00,$10.36M,2017,Honduras
Manmade filaments,10230000.00,$10.23M,2017,Honduras
Knitted or crocheted fabric,10040000.00,$10.04M,2017,Honduras
Other made textile articles- sets- worn clothing,9910000.00,$9.91M,2017,Honduras
Sugars and sugar confectionery,8140000.00,$8.14M,2017,Honduras
